sigma,seed,agent,cost,harm,effort,w_mean,g_mean,floor_frac
0.25,6,A1,0.023893013712793856,0.01728735141769977,0.06605662295094085,1.0,1.0650393353846048,0.0
0.25,7,A1,0.030168569762571727,0.022637867390508888,0.07530702372062838,1.0,0.9593103322866283,0.0
0.25,8,A1,0.02188233218802046,0.014738057631163863,0.07144274556856597,1.0,1.0693089741146358,0.0
0.25,9,A1,0.03804526669687566,0.029409029680482292,0.0863623701639337,1.0,1.0244033171819007,0.0
0.25,10,A1,0.04038606977082574,0.03171761383866411,0.08668455932161631,1.0,0.9838080635381969,0.0
0.25,11,A1,0.029440222804354273,0.021410780137942412,0.0802944266641186,1.0,1.011042602569216,0.0
0.25,12,A1,0.020678790027131137,0.013870168143688506,0.06808621883442631,1.0,1.026783809019351,0.0
0.25,13,A1,0.0396917669003467,0.031124882048254036,0.08566884852092671,1.0,1.018132506674823,0.0
0.25,14,A1,0.03816731213921436,0.029124047855327982,0.09043264283886376,1.0,0.9993646960360305,0.0
0.25,15,A1,0.04697243485107225,0.03824742777411654,0.08725007076955707,1.0,1.0231292244582866,0.0
0.25,16,A1,0.030281098676916293,0.02248352979326287,0.07797568883653425,1.0,1.0104277543858462,0.0
0.25,17,A1,0.03790248017880299,0.029759080193615388,0.08143399985187601,1.0,0.896094117371048,0.0
0.25,18,A1,0.038163834668192856,0.029334184599185163,0.08829650069007694,1.0,0.9699053992715673,0.0
0.25,19,A1,0.033321322468245214,0.025362495537315028,0.07958826930930187,1.0,1.1106071665934374,0.0
0.25,20,A1,0.04375954722275639,0.035232589219156625,0.08526958003599772,1.0,0.9662554688245252,0.0
0.25,21,A1,0.030315661902412992,0.022568022961801708,0.07747638940611284,1.0,1.055041521205214,0.0
0.25,22,A1,0.0324842321290011,0.02518517603901775,0.07299056089983354,1.0,1.0515997906916226,0.0
0.25,23,A1,0.021456411200016574,0.014861042589470764,0.06595368610545811,1.0,1.051495406398299,0.0
0.25,24,A1,0.03269140723637959,0.024672190763135624,0.0801921647324396,1.0,1.025209537807933,0.0
0.25,25,A1,0.023800526074194663,0.016439657567472295,0.07360868506722369,1.0,1.054380639196906,0.0
0.25,26,A1,0.03668672632145394,0.027622215414518817,0.09064510906935125,1.0,1.0021889097808871,0.0
0.25,27,A1,0.030505891238894963,0.02293483178405042,0.0757105945484454,1.0,1.011793417465044,0.0
0.25,28,A1,0.03127956289174448,0.02367882840904065,0.07600734482703828,1.0,1.0036918611075414,0.0
0.25,29,A1,0.030196366258958003,0.02305029192823923,0.07146074330718773,1.0,0.9807623791104353,0.0
0.25,0,A2,0.043542535096395704,0.03655837850318634,0.0698415659320936,0.12345698904312406,1.151789474141261,0.0
0.25,1,A2,0.03984337792497486,0.033235153533515194,0.06608224391459669,0.11907693522949073,1.1479508366593083,0.0
0.25,2,A2,0.038809020669534684,0.03231363705225309,0.06495383617281593,0.13497133251287233,1.1808699297248206,0.0
0.25,3,A2,0.04376931569551886,0.03714327668027153,0.0662603901524733,0.1345261547351217,1.1210666754321057,0.0
0.25,4,A2,0.04945997071932808,0.04252857263475905,0.06931398084569032,0.1403536748079267,1.1930411263147582,0.0
0.25,5,A2,0.03705326290398745,0.0306564152549182,0.0639684764906925,0.13061373907131874,1.1378873072224132,0.0
0.25,6,A2,0.02748758599131717,0.021789454000796505,0.056981319905206634,0.10309442628882197,1.1387680274167602,0.0
0.25,7,A2,0.036110547943681896,0.030024839616293954,0.06085708327387939,0.10793202152995542,1.100327431025185,0.0
0.25,8,A2,0.02712443160819013,0.021096234294693282,0.060281973134968476,0.08754334149629868,1.1401528562536718,0.0
0.25,9,A2,0.05054246196056668,0.04354408439865911,0.06998377561907566,0.14880817320835643,1.1738139456570273,0.0
0.25,10,A2,0.049130509128668176,0.0421757639301025,0.06954745198565673,0.15324510082441986,1.171881814951475,0.0
0.25,11,A2,0.03938266740126237,0.03274262035312351,0.06640047048138854,0.13159166813648115,1.1165805161726825,0.0
0.25,12,A2,0.026608943837042456,0.020802493866054764,0.05806449970987692,0.08664903199794627,1.126036380943556,0.0
0.25,13,A2,0.04982933730687333,0.04294858653203657,0.06880750774836757,0.16557204676275344,1.1684026471970894,0.0
0.25,14,A2,0.05099805531097151,0.04366155268149227,0.0733650262947924,0.13570940262327608,1.1278623094799975,0.0
0.25,15,A2,0.05575767499700622,0.04865820397582422,0.07099471021182005,0.16147218391929677,1.1748852542189878,0.0
0.25,16,A2,0.038396916605185065,0.032049997035153564,0.06346919570031499,0.12750402125901686,1.1437738928781087,0.0
0.25,17,A2,0.0464878846547276,0.039938037092306075,0.06549847562421524,0.1606873854582058,1.1150858669449766,0.0
0.25,18,A2,0.04904398718877104,0.04194365550416233,0.071003316846087,0.1496757176298836,1.1348906725203303,0.0
